investor_name,investor_permalink,country_code,state_code,region,city,investment_count,funding_round_types,num_portfolio_companies
Sequoia Capital,/organization/sequoia-capital,USA,CA,SF Bay Area,Menlo Park,1033,angel|convertible_note|debt_financing|post_ipo_equity|private_equity|seed|undisclosed|venture,602
Wayra,/organization/wayra,ESP,29,Madrid,Madrid,936,angel|convertible_note|debt_financing|equity_crowdfunding|grant|product_crowdfunding|seed|venture,467
500 Startups,/organization/500-startups,USA,CA,SF Bay Area,Mountain View,932,angel|convertible_note|product_crowdfunding|seed|undisclosed|venture,757
New Enterprise Associates,/organization/new-enterprise-associates,USA,CA,SF Bay Area,Menlo Park,902,angel|convertible_note|debt_financing|post_ipo_equity|private_equity|seed|undisclosed|venture,550
Intel Capital,/organization/intel-capital,USA,CA,SF Bay Area,Santa Clara,861,convertible_note|debt_financing|private_equity|seed|undisclosed|venture,610
Y Combinator,/organization/y-combinator,USA,CA,SF Bay Area,Mountain View,826,angel|convertible_note|debt_financing|product_crowdfunding|seed|undisclosed|venture,754
Accel,/organization/accel-partners,USA,CA,SF Bay Area,Palo Alto,779,angel|debt_financing|equity_crowdfunding|grant|post_ipo_equity|private_equity|secondary_market|seed|undisclosed|venture,456
Start-Up Chile,/organization/start-up-chile,CHL,12,Santiago,Santiago,727,angel|convertible_note|grant|non_equity_assistance|seed|undisclosed|venture,694
Kleiner Perkins Caufield & Byers,/organization/kleiner-perkins-caufield-byers,USA,CA,SF Bay Area,Menlo Park,727,angel|debt_financing|private_equity|seed|undisclosed|venture,406
SV Angel,/organization/sv-angel,USA,CA,SF Bay Area,San Francisco,625,angel|convertible_note|debt_financing|seed|undisclosed|venture,550
Draper Fisher Jurvetson (DFJ),/organization/draper-fisher-jurvetson,USA,CA,SF Bay Area,Menlo Park,611,angel|debt_financing|private_equity|seed|undisclosed|venture,340
Techstars,/organization/techstars,USA,CO,Denver,Boulder,537,angel|convertible_note|debt_financing|seed|undisclosed|venture,485
First Round,/organization/first-round-capital,USA,CA,SF Bay Area,San Francisco,492,angel|convertible_note|debt_financing|seed|undisclosed|venture,267
Bessemer Venture Partners,/organization/bessemer-venture-partners,USA,CA,SF Bay Area,Menlo Park,462,angel|debt_financing|private_equity|seed|undisclosed|venture,279
Index Ventures,/organization/index-ventures,CHE,7,Geneva,Geneva,459,angel|equity_crowdfunding|post_ipo_equity|private_equity|seed|undisclosed|venture,284
SOSV,/organization/sosventures,USA,NJ,Newark,Princeton,440,angel|convertible_note|debt_financing|grant|private_equity|seed|undisclosed|venture,362
Benchmark,/organization/benchmark,USA,CA,SF Bay Area,San Francisco,426,angel|debt_financing|private_equity|seed|undisclosed|venture,224
Greylock Partners,/organization/greylock,USA,CA,SF Bay Area,Menlo Park,424,convertible_note|debt_financing|private_equity|seed|undisclosed|venture,261
Lightspeed Venture Partners,/organization/lightspeed-venture-partners,USA,CA,SF Bay Area,Menlo Park,420,angel|convertible_note|debt_financing|grant|private_equity|seed|undisclosed|venture,233
Andreessen Horowitz,/organization/andreessen-horowitz,USA,CA,SF Bay Area,Menlo Park,415,angel|debt_financing|private_equity|seed|undisclosed|venture,272
High-Tech Gruenderfonds,/organization/high-tech-gruenderfonds,DEU,7,Bonn,Bonn,412,angel|seed|undisclosed|venture,310
Venrock,/organization/venrock,USA,CA,SF Bay Area,Palo Alto,407,debt_financing|post_ipo_equity|private_equity|seed|venture,210
Atlas Venture,/organization/atlas-venture,USA,MA,Boston,Cambridge,396,angel|debt_financing|post_ipo_equity|private_equity|seed|undisclosed|venture,231
General Catalyst Partners,/organization/general-catalyst-partners,USA,MA,Boston,Cambridge,391,angel|debt_financing|private_equity|seed|undisclosed|venture,234
Google Ventures,/organization/google-ventures,USA,CA,SF Bay Area,Mountain View,390,angel|convertible_note|debt_financing|private_equity|seed|undisclosed|venture,273
Khosla Ventures,/organization/khosla-ventures,USA,CA,SF Bay Area,Menlo Park,385,angel|debt_financing|post_ipo_equity|private_equity|seed|undisclosed|venture,225
Redpoint Ventures,/organization/redpoint-ventures,USA,CA,SF Bay Area,Menlo Park,381,angel|debt_financing|private_equity|seed|undisclosed|venture,206
Menlo Ventures,/organization/menlo-ventures,USA,CA,SF Bay Area,Menlo Park,375,angel|convertible_note|debt_financing|private_equity|seed|undisclosed|venture,210
Battery Ventures,/organization/battery-ventures,USA,MA,Boston,Waltham,374,angel|convertible_note|debt_financing|private_equity|seed|undisclosed|venture,217
Kima Ventures,/organization/kima-ventures,FRA,A8,Paris,Paris,368,angel|equity_crowdfunding|grant|seed|undisclosed|venture,329
Norwest Venture Partners - NVP,/organization/norwest-venture-partners,USA,CA,SF Bay Area,Palo Alto,357,debt_financing|private_equity|seed|undisclosed|venture,190
Canaan Partners,/organization/canaan-partners,USA,CA,SF Bay Area,Menlo Park,353,debt_financing|private_equity|seed|undisclosed|venture,191
Plug & Play Ventures,/organization/plug-and-play-ventures,USA,CA,SF Bay Area,Sunnyvale,343,angel|convertible_note|debt_financing|seed|undisclosed|venture,281
Matrix Partners,/organization/matrix-partners,USA,CA,SF Bay Area,Palo Alto,341,angel|debt_financing|post_ipo_equity|seed|undisclosed|venture,199
IDG Capital Partners,/organization/idg-capital-partners,CHN,22,Beijing,Beijing,339,angel|private_equity|seed|undisclosed|venture,228
Polaris Partners,/organization/polaris-partners,USA,MA,Boston,Waltham,335,debt_financing|private_equity|seed|undisclosed|venture,190
U.S. Venture Partners (USVP),/organization/us-venture-partners,USA,CA,SF Bay Area,Menlo Park,332,private_equity|seed|undisclosed|venture,188
True Ventures,/organization/true-ventures,USA,CA,SF Bay Area,Palo Alto,325,angel|convertible_note|debt_financing|private_equity|seed|undisclosed|venture,179
Foundation Capital,/organization/foundation-capital,USA,CA,SF Bay Area,Menlo Park,321,angel|debt_financing|private_equity|seed|undisclosed|venture,176
RRE Ventures,/organization/rre-ventures,USA,NY,New York City,New York,319,angel|convertible_note|seed|undisclosed|venture,187
Highland Capital Partners,/organization/highland-capital-partners,USA,MA,Boston,Cambridge,319,debt_financing|grant|post_ipo_equity|private_equity|seed|undisclosed|venture,177
Goldman Sachs,/organization/goldman-sachs,USA,NY,New York City,New York,313,angel|debt_financing|private_equity|seed|undisclosed|venture,255
CRV,/organization/charles-river-ventures,USA,MA,Boston,Cambridge,312,angel|convertible_note|debt_financing|private_equity|product_crowdfunding|seed|undisclosed|venture,193
North Bridge Venture Partners & Growth Equity,/organization/north-bridge-venture-partners,USA,MA,Boston,Waltham,300,debt_financing|private_equity|seed|undisclosed|venture,160
Silicon Valley Bank,/organization/silicon-valley-bank,USA,CA,SF Bay Area,Santa Clara,296,convertible_note|debt_financing|post_ipo_debt|private_equity|seed|undisclosed|venture,262
Mayfield Fund,/organization/mayfield-fund,USA,CA,SF Bay Area,Menlo Park,284,angel|convertible_note|debt_financing|private_equity|seed|undisclosed|venture,164
Microsoft Ventures,/organization/microsoft-ventures,USA,WA,Seattle,Redmond,283,convertible_note|debt_financing|non_equity_assistance|product_crowdfunding|seed|venture,282
Summit Partners,/organization/summit-partners,USA,MA,Boston,Boston,283,grant|private_equity|undisclosed|venture,270
ff Venture Capital,/organization/ff-venture-capital,USA,NY,New York City,New York,280,angel|convertible_note|debt_financing|seed|undisclosed|venture,85
Lerer Hippeau Ventures,/organization/lerer-ventures,USA,NY,New York City,New York,277,angel|convertible_note|debt_financing|seed|undisclosed|venture,202
InterWest Partners,/organization/interwest-partners,USA,CA,SF Bay Area,Menlo Park,274,angel|debt_financing|post_ipo_equity|private_equity|seed|venture,153
Felicis Ventures,/organization/felicis-ventures,USA,CA,SF Bay Area,Palo Alto,272,angel|convertible_note|seed|undisclosed|venture,199
DCM,/organization/dcm,USA,CA,SF Bay Area,Menlo Park,267,angel|convertible_note|debt_financing|private_equity|seed|undisclosed|venture,155
Founder Collective,/organization/founder-collective,USA,MA,Boston,Cambridge,262,angel|convertible_note|debt_financing|seed|venture,183
Trinity Ventures,/organization/trinity-ventures,USA,CA,SF Bay Area,Menlo Park,262,angel|convertible_note|debt_financing|private_equity|seed|undisclosed|venture,151
Sigma Partners,/organization/sigma-partners,USA,MA,Boston,Boston,261,debt_financing|private_equity|seed|undisclosed|venture,111
Austin Ventures,/organization/austin-ventures,USA,TX,Austin,Austin,250,private_equity|seed|venture,145
Oak Investment Partners,/organization/oak-investment-partners,USA,CT,Hartford,Greenwich,246,debt_financing|private_equity|seed|undisclosed|venture,149
Great Oaks Venture Capital,/organization/great-oaks-venture-capital,USA,NY,New York City,New York,244,angel|convertible_note|debt_financing|seed|undisclosed|venture,191
BDC Venture Capital,/organization/bdc-venture-capital,CAN,QC,Montreal,Montréal,242,angel|convertible_note|debt_financing|private_equity|seed|undisclosed|venture,167
Startupbootcamp,/organization/startupbootcamp,GBR,H9,London,London,240,angel|convertible_note|seed,237
GGV Capital,/organization/ggv-capital,USA,CA,SF Bay Area,Menlo Park,239,angel|debt_financing|private_equity|seed|undisclosed|venture,145
Greycroft Partners,/organization/greycroft-partners,,,,,233,angel|convertible_note|debt_financing|seed|undisclosed|venture,153
Eleven,/organization/eleven,BGR,42,Sofia,Sofia,225,convertible_note|seed,109
Mohr Davidow Ventures,/organization/mohr-davidow-ventures,USA,CA,SF Bay Area,Menlo Park,223,angel|convertible_note|debt_financing|grant|private_equity|seed|undisclosed|venture,113
DAG Ventures,/organization/dag-ventures,USA,CA,SF Bay Area,Palo Alto,219,debt_financing|private_equity|venture,132
Crosslink Capital,/organization/crosslink-capital,USA,CA,SF Bay Area,San Francisco,216,angel|convertible_note|private_equity|seed|undisclosed|venture,141
Ignition Partners,/organization/ignition-partners,USA,WA,Seattle,Bellevue,215,angel|debt_financing|private_equity|seed|undisclosed|venture,129
Shasta Ventures,/organization/shasta-ventures,USA,CA,SF Bay Area,Menlo Park,213,convertible_note|private_equity|seed|venture,112
SoftBank Capital,/organization/softbank-capital,USA,NY,New York City,New York,210,angel|convertible_note|private_equity|seed|undisclosed|venture,141
Spark Capital,/organization/spark-capital,USA,MA,Boston,Boston,205,debt_financing|private_equity|seed|undisclosed|venture,122
NXTP Labs,/organization/nxtp-labs,ARG,7,Buenos Aires,Buenos Aires,204,angel|convertible_note|product_crowdfunding|seed|venture,167
FLOODGATE,/organization/floodgate,USA,CA,SF Bay Area,Palo Alto,203,angel|convertible_note|seed|undisclosed|venture,138
BoxGroup,/organization/boxgroup,USA,NY,New York City,New York,201,angel|convertible_note|seed|undisclosed|venture,157
Founders Fund,/organization/founders-fund,,,,,200,angel|convertible_note|debt_financing|grant|private_equity|seed|undisclosed|venture,138
Fabrice Grinda,/person/fabrice-grinda,USA,,,New York,199,angel|secondary_market|seed|undisclosed|venture,178
Morgenthaler Ventures,/organization/morgenthaler-ventures,USA,CA,SF Bay Area,Menlo Park,199,debt_financing|private_equity|seed|venture,110
Bain Capital Ventures,/organization/bain-capital-ventures,USA,MA,Boston,Boston,197,convertible_note|debt_financing|private_equity|seed|undisclosed|venture,125
3i Group,/organization/3i-group,GBR,H9,London,London,197,private_equity|seed|undisclosed|venture,143
Qualcomm Ventures,/organization/qualcomm-ventures,USA,CA,San Diego,San Diego,196,angel|convertible_note|private_equity|seed|undisclosed|venture,143
SoftTech VC,/organization/softtech-vc,USA,CA,SF Bay Area,Palo Alto,191,angel|debt_financing|seed|undisclosed|venture,134
Foundry Group,/organization/foundry-group,USA,CO,Denver,Boulder,187,angel|private_equity|seed|undisclosed|venture,108
DreamIt Ventures,/organization/dreamit-ventures,USA,PA,Philadelphia,Philadelphia,186,angel|convertible_note|seed|undisclosed|venture,171
CrunchFund,/organization/crunchfund,USA,CA,SF Bay Area,San Francisco,186,angel|convertible_note|debt_financing|seed|undisclosed|venture,156
Madrona Venture Group,/organization/madrona-venture-group,USA,WA,Seattle,Seattle,184,private_equity|seed|venture,97
VantagePoint Capital Partners,/organization/vantagepoint-capital-partners,USA,CA,SF Bay Area,San Bruno,183,debt_financing|private_equity|seed|undisclosed|venture,119
Seedcamp,/organization/seedcamp,GBR,H9,London,London,182,angel|convertible_note|debt_financing|seed|undisclosed|venture,168
Innovation Works,/organization/innovation-works,USA,PA,Pittsburgh,Pittsburgh,181,angel|convertible_note|debt_financing|seed|undisclosed|venture,115
Union Square Ventures,/organization/union-square-ventures,USA,NY,New York City,New York,179,angel|debt_financing|private_equity|seed|venture,83
Social Starts,/organization/social-starts,,,,,177,angel|convertible_note|debt_financing|seed|undisclosed|venture,157
Insight Venture Partners,/organization/insight-venture-partners,USA,NY,New York City,New York,176,angel|debt_financing|private_equity|secondary_market|seed|undisclosed|venture,134
Sutter Hill Ventures,/organization/sutter-hill-ventures,USA,CA,SF Bay Area,Palo Alto,176,angel|debt_financing|private_equity|seed|undisclosed|venture,100
Tiger Global Management,/organization/tiger-global,USA,NY,New York City,New York,173,private_equity|secondary_market|seed|undisclosed|venture,109
Pitango Venture Capital,/organization/pitango-venture-capital,ISR,5,Tel Aviv,Herzliya,172,angel|debt_financing|seed|undisclosed|venture,98
Salesforce Ventures,/organization/salesforce-ventures,USA,CA,SF Bay Area,San Francisco,170,angel|debt_financing|private_equity|seed|undisclosed|venture,139
Balderton Capital,/organization/balderton-capital,GBR,H9,London,London,170,angel|debt_financing|private_equity|seed|undisclosed|venture,110
August Capital,/organization/august-capital,USA,CA,SF Bay Area,Menlo Park,169,debt_financing|private_equity|seed|venture,97
Domain Associates,/organization/domain-associates,USA,CA,San Diego,San Diego,168,private_equity|venture,93
Cyberport Hong Kong,/organization/cyberport-hong-kong,HKG,,Hong Kong,Hong Kong,167,grant|seed|undisclosed,162
Trident Capital,/organization/trident-capital,USA,CA,SF Bay Area,Palo Alto,167,debt_financing|private_equity|seed|undisclosed|venture,92
e.ventures,/organization/e-ventures,USA,CA,SF Bay Area,San Francisco,166,angel|seed|undisclosed|venture,99
OrbiMed Advisors,/organization/orbimed-advisors,USA,NY,New York City,New York,166,debt_financing|post_ipo_debt|post_ipo_equity|private_equity|undisclosed|venture,112
Marc Bell Ventures,/organization/marc-bell-ventures,USA,FL,Palm Beaches,Boca Raton,165,angel|convertible_note|debt_financing|seed|venture,164
Houston Angel Network,/organization/houston-angel-network,USA,TX,Houston,Houston,164,angel|debt_financing|seed|venture,106
Versant Ventures,/organization/versant-ventures,USA,CA,SF Bay Area,Menlo Park,162,debt_financing|private_equity|venture,104
Upfront Ventures,/organization/upfront-ventures,USA,CA,Los Angeles,Santa Monica,161,angel|convertible_note|private_equity|secondary_market|seed|undisclosed|venture,104
SAIF Partners,/organization/saif-partners,HKG,,Hong Kong,Hong Kong,160,angel|private_equity|seed|undisclosed|venture,125
Shenzhen Capital Group,/organization/shenzhen-capital-group,CHN,30,Shenzhen,Shenzhen,156,angel|undisclosed|venture,134
ARCH Venture Partners,/organization/arch-venture-partners,USA,IL,Chicago,Chicago,156,private_equity|seed|undisclosed|venture,91
FundersClub,/organization/fundersclub,USA,CA,SF Bay Area,San Francisco,155,angel|convertible_note|seed|undisclosed|venture,135
Partech Ventures,/organization/partech-international,FRA,A8,Paris,Paris,155,convertible_note|private_equity|seed|undisclosed|venture,109
Crowdcube,/organization/crowdcube,GBR,D4,Exeter,Exeter,154,angel|convertible_note|equity_crowdfunding|product_crowdfunding|seed|undisclosed|venture,136
FirstMark Capital,/organization/firstmark-capital,USA,NY,New York City,New York,153,angel|private_equity|seed|venture,81
Sierra Ventures,/organization/sierra-ventures,USA,CA,SF Bay Area,San Mateo,152,angel|private_equity|seed|undisclosed|venture,99
ATDC,/organization/atdc,USA,GA,Atlanta,Atlanta,150,angel|convertible_note|debt_financing|seed|venture,45
Advanced Technology Ventures,/organization/advanced-technology-ventures,USA,CA,SF Bay Area,Palo Alto,150,angel|debt_financing|private_equity|seed|venture,85
Flagship Ventures,/organization/flagship-ventures,USA,MA,Boston,Cambridge,150,debt_financing|private_equity|seed|undisclosed|venture,82
BlueRun Ventures,/organization/bluerun-ventures,USA,CA,SF Bay Area,Menlo Park,149,angel|seed|undisclosed|venture,93
Globespan Capital Partners,/organization/globespan-capital-partners,USA,CA,SF Bay Area,Palo Alto,149,debt_financing|private_equity|seed|venture,82
Alta Partners,/organization/alta-partners,USA,CA,SF Bay Area,San Francisco,149,debt_financing|private_equity|venture,87
Icon Ventures,/organization/iconventures,USA,CA,SF Bay Area,Palo Alto,148,debt_financing|private_equity|undisclosed|venture,85
Flybridge Capital Partners,/organization/flybridge-capital,USA,MA,Boston,Boston,146,private_equity|seed|venture,72
In-Q-Tel,/organization/in-q-tel,USA,VA,"Washington, D.C.",Arlington,146,convertible_note|debt_financing|grant|seed|undisclosed|venture,116
Sofinnova Ventures,/organization/sofinnova-ventures,USA,CA,SF Bay Area,Menlo Park,146,debt_financing|private_equity|seed|venture,95
Auriga Partners,/organization/auriga-partners,FRA,A8,Paris,Paris,146,private_equity|seed|venture,65
Data Collective,/organization/data-collective,USA,CA,SF Bay Area,San Francisco,142,angel|convertible_note|seed|undisclosed|venture,109
IVP,/organization/institutional-venture-partners,USA,CA,SF Bay Area,Menlo Park,142,private_equity|undisclosed|venture,101
Wavemaker Partners,/organization/siemer-ventures,USA,CA,Los Angeles,Santa Monica,141,angel|debt_financing|seed|undisclosed|venture,122
Oxford Capital Partners,/organization/oxford-capital-partners,GBR,K2,London,Oxford,141,undisclosed|venture,44
Social Capital,/organization/social-capital,USA,CA,SF Bay Area,Palo Alto,141,angel|convertible_note|private_equity|seed|undisclosed|venture,85
Enterprise Ireland,/organization/enterprise-ireland,IRL,7,Dublin,Dublin,140,angel|grant|seed|undisclosed|venture,129
Carmel Ventures,/organization/carmel-ventures,ISR,5,Tel Aviv,Herzliya,140,equity_crowdfunding|private_equity|seed|venture,71
Cisco,/organization/cisco,USA,CA,SF Bay Area,San Jose,139,grant|private_equity|seed|undisclosed|venture,109
Slow Ventures,/organization/slow-ventures,USA,CA,SF Bay Area,San Francisco,138,angel|convertible_note|seed|undisclosed|venture,124
Novartis Venture Fund,/organization/novartis-venture-fund,CHE,4,Basel,Basel,135,private_equity|seed|undisclosed|venture,80
Baseline Ventures,/organization/baseline-ventures,USA,CA,SF Bay Area,San Francisco,133,angel|seed|venture,85
Bay Partners,/organization/bay-partners,USA,CA,SF Bay Area,Menlo Park,133,angel|seed|undisclosed|venture,73
CIT GAP Funds,/organization/cit-gap-funds,USA,VA,"Washington, D.C.",Herndon,132,angel|convertible_note|debt_financing|grant|seed|undisclosed|venture,123
HWVP,/organization/hummer-winblad-venture-partners,USA,CA,SF Bay Area,San Francisco,132,angel|seed|venture,58
Vertex Ventures,/organization/vertex-ventures,USA,CA,SF Bay Area,Palo Alto,131,angel|debt_financing|seed|undisclosed|venture,86
Correlation Ventures,/organization/correlation-ventures,USA,CA,San Diego,San Diego,131,angel|convertible_note|debt_financing|private_equity|seed|venture,81
Western Technology Investment,/organization/western-technology-investment,USA,CA,SF Bay Area,Portola Valley,131,angel|convertible_note|debt_financing|grant|private_equity|seed|undisclosed|venture,112
AngelPad,/organization/angelpad,USA,CA,SF Bay Area,San Francisco,131,angel|convertible_note|seed|venture,91
Sevin Rosen Funds,/organization/sevin-rosen-funds,USA,TX,Dallas,Dallas,131,debt_financing|venture,81
Scale Venture Partners,/organization/scale-venture-partners,USA,CA,SF Bay Area,Foster City,130,debt_financing|private_equity|undisclosed|venture,74
QueensBridge Venture Partners,/organization/queensbridge-venture-partners,USA,CA,Los Angeles,Los Angeles,129,angel|seed|undisclosed|venture,120
Ron Conway,/person/ron-conway,USA,,,San Francisco,128,angel|grant|seed|undisclosed|venture,121
MPM Capital,/organization/mpm-capital,USA,MA,Boston,Boston,128,private_equity|secondary_market|seed|venture,78
Granite Ventures,/organization/granite-ventures,USA,CA,SF Bay Area,San Francisco,128,debt_financing|private_equity|seed|venture,71
Wellington Partners,/organization/wellington-partners,DEU,2,Munich,Munich,128,debt_financing|private_equity|seed|venture,80
Comcast Ventures,/organization/comcast-interactive-capital,USA,CA,SF Bay Area,San Francisco,126,debt_financing|seed|undisclosed|venture,92
Storm Ventures,/organization/storm-ventures,USA,CA,SF Bay Area,Menlo Park,125,debt_financing|seed|undisclosed|venture,67
Intersouth Partners,/organization/intersouth-partners,USA,NC,Raleigh,Durham,125,debt_financing|private_equity|seed|venture,62
Octopus Ventures,/organization/octopus-ventures,GBR,H9,London,London,125,debt_financing|private_equity|seed|undisclosed|venture,88
Warburg Pincus,/organization/warburg-pincus,USA,NY,New York City,New York,124,angel|private_equity|seed|undisclosed|venture,94
Scottish Equity Partners (SEP),/organization/scottish-equity-partners,GBR,V2,Glasgow,Glasgow,124,debt_financing|private_equity|seed|undisclosed|venture,75
Motorola Solutions Venture Capital,/organization/motorola-solutions-venture-capital,USA,IL,Chicago,Chicago,123,debt_financing|undisclosed|venture,86
Sapphire Ventures,/organization/sapphire-ventures,USA,CA,SF Bay Area,Palo Alto,123,debt_financing|private_equity|undisclosed|venture,80
Betaworks,/organization/betaworks,USA,NY,New York City,New York,123,angel|convertible_note|debt_financing|seed|venture,103
Seedrs,/organization/seedrs,GBR,H9,London,London,123,angel|equity_crowdfunding|product_crowdfunding|seed|venture,88
Siemens Venture Capital,/organization/siemens-venture-capital,DEU,2,Munich,Munich,122,convertible_note|seed|undisclosed|venture,83
Alliance of Angels,/organization/alliance-of-angels,USA,WA,Seattle,Seattle,121,angel|convertible_note|debt_financing|seed|venture,105
Harrison Metal,/organization/harrison-metal,USA,CA,SF Bay Area,Palo Alto,119,angel|seed|venture,73
Alloy Ventures,/organization/alloy-ventures,USA,CA,SF Bay Area,Palo Alto,118,private_equity|seed|venture,67
Alexis Ohanian,/person/alexis-ohanian,USA,,,Brooklyn,118,angel|convertible_note|grant|seed|undisclosed|venture,107
Avalon Ventures,/organization/avalon-ventures,USA,CA,San Diego,La Jolla,118,angel|convertible_note|seed|undisclosed|venture,66
QiMing Venture Partners,/organization/qiming-venture-partners,CHN,23,Shanghai,Shanghai,117,angel|post_ipo_equity|private_equity|undisclosed|venture,79
Meritech Capital Partners,/organization/meritech-capital-partners,USA,CA,SF Bay Area,Palo Alto,117,private_equity|undisclosed|venture,84
SV Life Sciences,/organization/sv-life-sciences,USA,MA,Boston,Boston,117,debt_financing|seed|undisclosed|venture,65
Connecticut Innovations,/organization/connecticut-innovations,USA,CT,Hartford,Rocky Hill,117,convertible_note|debt_financing|grant|seed|undisclosed|venture,89
Matrix Partners China,/organization/matrix-partners-china,CHN,22,Beijing,Beijing,116,angel|seed|undisclosed|venture,87
Johnson & Johnson Development Corporation,/organization/johnson-johnson-development-corporation,USA,NJ,Newark,New Brunswick,116,private_equity|seed|undisclosed|venture,72
iNovia Capital,/organization/inovia-capital,CAN,QC,Montreal,Montréal,116,debt_financing|private_equity|seed|undisclosed|venture,72
Nexus Venture Partners,/organization/nexus-venture-partners,USA,CA,SF Bay Area,Menlo Park,114,private_equity|seed|undisclosed|venture,64
Columbia Capital,/organization/columbia-capital,USA,VA,Alexandria,Alexandria,114,debt_financing|private_equity|undisclosed|venture,67
Adams Street Partners,/organization/adams-street-partners,USA,IL,Chicago,Chicago,114,private_equity|seed|undisclosed|venture,77
Sofinnova Partners,/organization/sofinnova-partners,FRA,A8,Paris,Paris,113,angel|seed|venture,78
Investor Growth Capital,/organization/investor-growth-capital,SWE,26,Stockholm,Stockholm,113,debt_financing|private_equity|undisclosed|venture,75
AME Cloud Ventures,/organization/ame-cloud-ventures,USA,CA,SF Bay Area,Palo Alto,113,angel|debt_financing|seed|undisclosed|venture,88
Edison Partners,/organization/edison-ventures,USA,NJ,Newark,Princeton,113,private_equity|undisclosed|venture,75
Emergence Capital Partners,/organization/emergence-capital-partners,USA,CA,SF Bay Area,San Mateo,112,private_equity|seed|venture,54
CyberAgent Ventures,/organization/cyberagent,JPN,40,Tokyo,Tokyo,109,angel|debt_financing|seed|undisclosed|venture,102
Samsung Ventures,/organization/samsung-ventures,KOR,11,Seoul,Seoul,109,convertible_note|debt_financing|seed|undisclosed|venture,90
VegasTechFund,/organization/vegastechfund,USA,NV,Las Vegas,Las Vegas,109,angel|convertible_note|debt_financing|seed|undisclosed|venture,95
TEEC Angel Fund,/organization/teec-angel-fund,,,,,108,angel|seed|undisclosed|venture,102
Pritzker Group Venture Capital,/organization/pritzker-group-venture-capital,USA,IL,Chicago,Chicago,108,angel|debt_financing|seed|undisclosed|venture,83
Seed Capital,/organization/seed-capital,DNK,17,Lyngby,Lyngby,108,seed|undisclosed|venture,90
Metamorphic Ventures,/organization/metamorphic-ventures-llc,USA,NY,New York City,New York,107,angel|convertible_note|seed|undisclosed|venture,79
New Leaf Venture Partners,/organization/new-leaf-venture-partners,USA,NY,New York City,New York,107,debt_financing|private_equity|venture,57
Apax Partners,/organization/apax-partners,USA,NY,New York City,New York,107,angel|private_equity|undisclosed|venture,83
Lightbank,/organization/lightbank,USA,IL,Chicago,Chicago,106,angel|convertible_note|seed|undisclosed|venture,83
Steamboat Ventures,/organization/steamboat-ventures,USA,CA,Los Angeles,Burbank,106,venture,53
DN Capital,/organization/dn-capital,GBR,H9,London,London,106,seed|undisclosed|venture,63
David Cohen,/person/david-cohen,USA,,,Boulder,105,angel|convertible_note|seed|venture,89
Walden International,/organization/walden-international,USA,CA,SF Bay Area,San Francisco,104,private_equity|seed|undisclosed|venture,68
Gemini Israel Ventures,/organization/gemini-israel-funds,ISR,5,Tel Aviv,Herzliya,103,seed|venture,55
Maveron,/organization/maveron,USA,CA,SF Bay Area,San Francisco,103,angel|private_equity|seed|venture,70
The Carlyle Group,/organization/carlyle-group,USA,DC,"Washington, D.C.",Washington,102,private_equity|seed|undisclosed|venture,79
Ventech,/organization/ventech-capital,FRA,A8,Paris,Paris,101,angel|private_equity|seed|undisclosed|venture,58
Morningside Group,/organization/morningside-group,CHN,23,Shanghai,Shanghai,101,angel|private_equity|seed|undisclosed|venture,71
Rev1 Ventures,/organization/techcolumbus-2,USA,OH,"Columbus, Ohio",Columbus,101,angel|debt_financing|grant|seed|undisclosed|venture,86
JumpStart Inc.,/organization/jumpstartinc,USA,OH,Cleveland,Cleveland,101,angel|convertible_note|seed|venture,74
Idinvest Partners,/organization/idinvest-partners,FRA,A8,Paris,Paris,101,angel|seed|undisclosed|venture,71
Sherpa Capital,/organization/sherpa-ventures,USA,CA,SF Bay Area,San Francisco,101,convertible_note|secondary_market|seed|undisclosed|venture,81
Blumberg Capital,/organization/blumberg-capital,USA,CA,SF Bay Area,San Francisco,100,angel|debt_financing|private_equity|seed|undisclosed|venture,69
Earlybird Venture Capital,/organization/earlybird-venture-capital,,,,,100,private_equity|seed|undisclosed|venture,70
Ben Franklin Technology Partners of Southeastern Pennsylvania,/organization/ben-franklin-technology-partners-of-southeastern-pennsylvania,USA,PA,Philadelphia,Philadelphia,100,angel|debt_financing|grant|seed|venture,91
Tenaya Capital,/organization/tenaya-capital,USA,CA,SF Bay Area,Portola Valley,100,private_equity|venture,61
Scott Banister,/person/scott-banister,USA,,,San Francisco,99,angel|convertible_note|private_equity|seed|venture,87
Gimv,/organization/gimv,BEL,1,Antwerp,Antwerpen,99,undisclosed|venture,66
Omidyar Network,/organization/omidyar-network,USA,CA,SF Bay Area,Redwood City,99,angel|grant|seed|venture,73
T-Venture,/organization/t-venture,DEU,7,Bonn,Bonn-lengsdorf,98,seed|undisclosed|venture,72
Thrive Capital,/organization/thrive-capital,USA,NY,New York City,New York,98,convertible_note|seed|venture,69
Converge Venture Partners,/organization/commonangels,USA,MA,Boston,Cambridge,97,angel|seed|undisclosed|venture,57
Amadeus Capital Partners,/organization/amadeus-capital-partners,GBR,H9,London,London,96,private_equity|seed|undisclosed|venture,51
Jerusalem Venture Partners (JVP),/organization/jerusalem-venture-partners,ISR,6,Tel Aviv,Jerusalem,96,private_equity|seed|undisclosed|venture,55
