investor_name,investor_permalink,country_code,state_code,region,city,investment_count,funding_round_types,num_portfolio_companies
Compaq,/organization/compaq,USA,CA,SF Bay Area,Palo Alto,3,venture,3
Excellere Partners,/organization/excellere-partners,USA,CO,Denver,Denver,3,undisclosed,3
Nicolai Wadstrom,/person/nicolai-wadstrom,USA,,,San Francisco,3,seed|undisclosed|venture,3
Mobily Ventures,/organization/mobily-ventures,SAU,10,Riyadh,Riyadh,3,venture,3
Infotech Pacific Ventures,/organization/infotech-pacific-ventures,CHN,23,Shanghai,Shanghai,3,undisclosed|venture,3
Didi Kuaidi,/organization/didi-dache,CHN,22,Beijing,Beijing,3,venture,2
Falcon Edge Capital,/organization/falcon,USA,NY,New York City,New York,3,venture,2
Rehan yar Khan,/person/rehan-yar-khan,IND,,,Mumbai,3,angel|venture,3
Jeremy Yap,/person/jeremy-yap-2,GBR,,,London,3,seed,3
The W Fund,/organization/the-w-fund,USA,WA,Seattle,Seattle,3,seed|venture,3
W Fund,/organization/w-fund,,,,,3,seed|venture,3
John Sculley,/person/john-sculley,USA,,,Palm Beach,3,venture,3
Jon Medved,/person/jon-medved,,,,,3,angel|seed|venture,3
Mark Tebbe,/person/mark-tebbe,,,,,3,undisclosed|venture,3
Daehong Technew,/organization/daehong-technew,KOR,11,Seoul,Seoul,3,venture,2
Azini Capital Partners,/organization/azini-capital-partners,GBR,H9,London,London,3,undisclosed|venture,3
Maurizio Donadelli,/person/maurizio-donadelli,,,,,3,seed,3
VEB Innovations,/organization/veb-innovations,RUS,48,Moscow,Moscow,3,venture,3
500 Tuk Tuk,/organization/500-tuk-tuk,,,,,3,seed|venture,3
Enron Broadband Services,/organization/enron-broadband-services,,,,,3,venture,3
Themes Investment Partners,/organization/themes-investment-partners,,,,,3,venture,3
Alpine Technology Ventures,/organization/alpine-technology-ventures,USA,CA,SF Bay Area,Cupertino,3,venture,3
Pine River Capital Management,/organization/pine-river-capital-management,USA,MN,Minneapolis,Minnetonka,3,venture,3
Wales Life Sciences Investment Fund,/organization/wales-life-sciences-investment-fund,,,,,3,venture,3
Analytics Ventures,/organization/analytics-ventures,USA,CA,San Diego,Rancho Santa Fe,3,seed|undisclosed,3
KI Investment Holdings,/organization/ki-investment-holdings,USA,CA,San Diego,San Diego,3,undisclosed|venture,2
La Costa Investment Group,/organization/la-costa-investment-group,,,,,3,seed|undisclosed|venture,3
"Athyrium Capital Management, LP",/organization/athyrium-capital-management,USA,NY,New York City,New York,3,debt_financing|post_ipo_debt|venture,3
Drukka Startup Studio,/organization/drukka-startup-studio,HUN,5,,,3,seed,3
SVASE/Cambridge West Ventures,/organization/svase-cambridge-west-ventures,USA,CA,SF Bay Area,Redwood City,3,seed|venture,3
Simon Levene,/person/simon-levene,GBR,,,London,3,venture,3
Brian Halligan,/person/brian-halligan,USA,,,Cambridge,3,seed|venture,3
Stingray Digital,/organization/stingray-digital,CAN,QC,Montreal,Montréal,3,seed|venture,1
Marc Hazan,/person/marc-hazan,,,,,3,seed|venture,2
Palo Alto Venture Science,/organization/palo-alto-venture-science,USA,CA,SF Bay Area,Palo Alto,3,seed|venture,3
Poalim Capital Markets (PCM),/organization/poalim-capital-markets-pcm,ISR,5,Tel Aviv,Tel Aviv,3,venture,3
Engineering Capital,/organization/engineering-capital,USA,CA,SF Bay Area,Palo Alto,3,venture,3
Nippon Telegraph and Telephone Corporation,/organization/nippon-telegraph-and-telephone-corporation,JPN,40,Tokyo,Tokyo,3,angel|venture,3
Gaylord Kellogg,/person/gaylord-kellogg,,,,,3,angel|seed|venture,3
Jotter Investment,/organization/jotter-investment,,,,,3,seed,3
Jeff Arnold,/person/jeff-arnold,,,,,3,seed,3
Waseem Daher,/person/waseem-daher,,,,,3,seed,3
Joseph Melohn,/person/joseph-melohn,,,,,3,seed,2
Three Bridges Ventures,/organization/three-bridges-ventures,,,,,3,convertible_note|venture,3
1800Flowers,/organization/1800flowers,,,,,3,private_equity|seed,2
